id,value
2103,Anshan
4105,Anyang
1306,Baoding
6103,Baoji
1502,Baotou
4505,Beihai
2105,Benxi
3716,Binzhou
1309,Cangzhou
2201,Changchun
4307,Changde
4301,Changsha
1404,Changzhi
3204,Changzhou
1308,Chengde
5101,Chengdu
1504,Chifeng
2102,Dalian
2106,Dandong
469003,Danzhou
2306,Daqing
1402,Datong
5106,Deyang
3714,Dezhou
469007,Dongfang
4419,Dongguan
3705,Dongying
1506,Eerduosi
4228,Enshi
4406,Foshan
2104,Fushun
2109,Fuxin
3412,Fuyang
3501,Fuzhou
4401,Guangzhou
4503,Guilin
5201,Guiyang
2301,Haerbin
4601,Haikou
1304,Handan
3301,Hangzhou
3401,Hefei
1311,Hengshui
4416,Heyuan
3717,Heze
1501,Hohhot
3208,Huaian
4211,Huanggang
4202,Huangshi
3402,Wuhu
4413,Huizhou
2114,Huludao
3305,Huzhou
4407,Jiangmen
4108,Jiaozuo
3304,Jiaxing
6202,Jiayuguan
4452,Jieyang
2202,Jilin
3701,Jinan
6203,Jinchang
4208,Jingmen
4210,Jingzhou
3307,Jinhua
3708,Jining
1407,Jinzhong
2107,Jinzhou
3604,Jiujiang
4102,Kaifeng
5301,Kunming
3712,Laiwu
1310,Langfang
6201,Lanzhou
469033,Ledongxian
5401,Lhasa
3207,Lianyungang
3715,Liaocheng
2110,Liaoyang
1410,Linfen
3713,Linyi
3311,Lishui
4502,Liuzhou
4103,Luoyang
5105,Luzhou
3405,Maanshan
4409,Maoming
4414,Meizhou
5107,Mianyang
2310,Mudanjiang
3601,Nanchang
5113,Nanchong
3201,Nanjing
4501,Nanning
3206,Nantong
3302,Ningbo
2111,Panjin
5104,Panzhihua
4104,Pingdingshan
429005,Qianjiang
3702,Qingdao
4418,Qingyuan
1303,Qinhuangdao
469002,Qionghai
2302,Qiqihaer
3505,Quanzhou
5303,Qujing
3308,Quzhou
3711,Rizhao
4112,Sanmenxia
4602,Sanya
4415,Shantou
4405,Shantou
4402,Shaoguan
3306,Shaoxing
429021,Shennongjia
2101,Shenyang
4403,Shenzhen
1301,Shijiazhuang
4203,Shiyan
6402,Shizuishan
1406,Shuozhou
4213,Suizhou
3213,Suqian
3205,Suzhou
3709,Taian
1401,Taiyuan
3310,Taizhou
1302,Tangshan
429006,Tianmen
2112,Tieling
6102,Tongchuan
3707,Weifang
3710,Weihai
6105,Weinan
3303,Wenzhou
4201,Wuhan
3202,Wuxi
469001,Wuzhishan
3502,Xiamen
6101,Xian
4206,Xiangfan
4303,Xiangtan
4212,Xianning
429004,Xiantao
6104,Xianyang
4209,Xiaogan
1305,Xingtai
6301,Xining
1409,Xinzhou
3203,Xuzhou
6106,Yanan
3209,Yancheng
4417,Yangjiang
1403,Yangquan
3210,Yangzhou
3706,Yantai
5115,Yibin
4205,Yichang
6401,Yinchuan
2108,Yingkou
4306,Yueyang
1408,Yuncheng
4453,Yunfu
5304,Yuxi
3704,Zaozhuang
4308,Zhangjiajie
1307,Zhangjiakou
4408,Zhanjiang
4412,Zhaoqing
4101,Zhengzhou
3211,Zhenjiang
4420,Zhongshan
3309,Zhoushan
4404,Zhuhai
4302,Zhuzhou
3703,Zibo
5103,Zigong
5203,Zunyi
bei_jing,Beijing
shang_hai,Shanghai
tian_jin,Tianjing
chong_qing,Chongqing